feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_distance_deviation,3.600301,37,2055.52,-569.93,13,4332.39,-477.93,0.6154,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_distance_deviation,3.571398,122,3693.79,-1033.27,44,2612.99,-2519.87,0.4091,"{""0"": 0.5, ""1"": 0.55, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_slope_deviation,3.513271,72,3542.08,-1007.2,26,5908.47,-1102.4,0.4231,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,3.506417,76,3068.01,-873.97,29,4538.05,-1565.63,0.4483,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,3.495159,36,2425.78,-693.04,13,4451.96,-651.42,0.5385,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,3.459412,62,2573.56,-742.93,21,4465.01,-2249.34,0.5238,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_no_side_flag,3.423308,49,1766.29,-514.96,14,4473.58,-450.2,0.5714,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_distance_deviation,3.400789,60,2076.93,-609.72,21,4947.03,-1067.13,0.4286,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,3.399555,56,1924.76,-565.18,18,5786.32,-515.99,0.6111,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,3.394491,45,1464.01,-430.29,17,4983.4,-596.83,0.5294,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
